"original_text","cleaned_tamil","valence","arousal","dominance","utterance_count","depression_type"
"Lreuteri yogurt look up pannu. Oxytocin vangitu.","ள்றெஉடெறி தயிர் பார் பன்னி ஆக்சிடாசின் வஙிடு",5.875,4.523,5.443,1,"Situational"
"Idhu ellarukkum nadakkum","இரு எல்லறுக்கும் னகும்",5.507,5.067,4.94,1,"Situational"
"Holy fuck shit people","கோலி பக் கிட் மக்கள்",5.855,3.795,5.787,1,"Situational"
"Fucking plane ticket vangu.","பக்கிங் வளமான டிக்கெட் வடு",5.31,4.875,5.145,1,"Situational"
"Logic feelings illa.","தர்க்கம் ஈளிங்ச் நல்ல",5.447,4.02,5.733,1,"Situational"
"Paper-la life great-nu solra","காகிதம் லே வாழ்க்கை பெரியது டு சோள்ற",5.57,4.34,5.552,1,"Situational"
"Just mate venum. Simple.","தோழியே வெறும் எளிமையானது",4.893,4.57,5.07,1,"Situational"
"I hear ya. Paper-la naan good","மான் கேட்கிறேன் ஊக காகிதம் லே மான் நல்லது",5.607,3.646,5.591,1,"Situational"
"Depression internet","மனச்சோர்வு இணையம்",5.21,4.785,5.1,1,"Situational"
"Depression-kku logical reason illa-na","மன அழுத்தம் நக்கு தர்க்கரீதியான காரணம் நல்ல இன",5.096,4.269,5.331,1,"Situational"
"Why people-a life-la let pannuradhu-kku fear pannura? Deep fear of rejection irukka? Arms length-la keep pannina no one truly reject pannida mudiyadhu","ஷன் மக்கள் பரு வாழ்க்கை லே வடு பன்னுறது நக்கு பயம் பன்னுற டப் நிராகரிப்பு பயம் இறக்க ஆயுதங்கள் ளெங்த் லே கூப் பன்னி யாரும் உண்மையில் நிராகரிக்கவில்லை பன்னி முடியது",5.088,4.792,5.031,2,"Situational"
"Logical reason depression-kku irundha","தர்க்கரீதியான காரணம் மனச்சோர்வு நக்கு இறுன்க",5.554,4.498,5.666,1,"Situational"
"Paper-la life great illa. Time-a gold-kku trade pannuradhu part of life","காகிதம் லே வாழ்க்கை பெரியது நல்ல நேரம் பரு தங்கம் நக்கு வர்த்தகம் பன்னுறது வாழ்க்கையின் பரு பகுதி",5.236,4.474,5.399,1,"Situational"
"Professional-a talk pannu","தொழில்முறை பேச்சு பன்னி",6.7,3.657,6.277,1,"Situational"
"Therapy or first impression therapist meet up try pannu","தெறப்ய் நல்லது முதல் எண்ணம் தெறபிச்ட் மூட் முயற்சி செய்யுங்கள் பன்னி",5.958,4.339,5.592,1,"Situational"
"No logical reason-nu claim pannura","தர்க்கரீதியான காரணம் ை டு சைம் பன்னுற",5.731,4.04,5.982,2,"Situational"
"Sleep eppadi? Apnea irukka check pannu. Serious-a solluren. Bad sleep depression-kku culprit aagum.","ச்ளீப் எப்படி அப்னெஅ இறக்க பார்க்கவும் பன்னி தவிர ஊக சோள்ளுறென் மோசமான ச்ளீப் மன அழுத்தம் நக்கு குற்றவாளி ஆகும்",4.432,5.069,4.705,2,"Melancholic"
"Different person-a change pannanum. Different things pannanum.","வித்தியாசமான நபர் ஊக சூ பண்ணனும் வெவ்வேறு விசயங்கள் பண்ணனும்",4.673,4.791,5.174,1,"Situational"
"Depression illness. Logic illa","மனச்சோர்வு நோய் தர்க்கம் நல்ல",4.19,4.173,4.74,1,"Situational"
"Social isolation slowly rot pannudhu. Stand on your own two feet good","சமூக தனிமை மெதுவாக அழுகும் பன்னுது சொந்தமாக நில்லுங்கள் பட் நல்லது",5.239,4.44,5.471,1,"Situational"
"Drugs try pannirukka? Nothing hard","மருந்துகள் முயற்சிக்கின்றன பன்னிறுக்க கடினமான எதுவும்",4.6,5.184,4.794,1,"Melancholic"
"Therapist paaru","தெறபிச்ட் பாறை",5.36,4.07,5.13,1,"Situational"
"Anxiety drugs-la irukken","கவலை மருந்துகள் லே இறுக்கென்",4.355,4.815,4.758,1,"Melancholic"
"First paragraph lie-nu theriyum. Life paper-la great-nu sonna","முதல் பத்தி பொய் டு தெரியும் வாழ்க்கை காகிதம் லே பெரிய டு சோண்ண",5.119,4.281,5.371,1,"Situational"
"Volunteer aagu. Social contact without pressure kedaikkum. Lack of social contact probably depression-kku cause. Food bank-la volunteer pannuren","வோளுன்டீற் ஆக சமூக தொடர்பு இதோஉட் அழுத்தம் கிடைக்கும் சமூக தொடர்பு ாமை ஒருவேளை மனச்சோர்வு நக்கு அஉசே ஊக வங்கி லே வோளுன்டீற் பன்னுறென்",5.249,4.598,5.153,2,"Situational"
"Diet check pannu. Bad gut health directly depression-kku related. Seed oils-a plague maari avoid pannu. Meditation pick pannu. 10-15 minutes a day enough. Long term project.","உணவுக் கட்டுப்பாடு பன்னி கெட்ட குடல் கெஅள்த் நேரடியான மனச்சோர்வு நக்கு தொடர்புடைய விதை எண்ணெய்கள் பரு பிளேக் மாடி தவிர்க்க பன்னி தியானம் தேர்வு பன்னி பரு நாளைக்கு நிமிடங்கள் போதும் போங் கால திட்டம்",4.72,4.383,4.984,2,"Situational"
"Bicycle vangu","சைக்கிள் வடு",5.21,5.25,5.15,1,"Situational"
"Depression suffer pannuren","மனச்சோர்வு ஏற்படுகிறது பன்னுறென்",4.58,4.71,4.653,1,"Melancholic"
"No logical reason-nu sollura","தர்க்கரீதியான காரணம் ை டு சோள்ளுற",5.579,4.107,5.825,2,"Situational"
"Feel you. Social life non-existent","எள் ரோ சமூக வாழ்க்கை",5.598,4.685,5.572,1,"Situational"
"Two types of people: Happiness making themselves happy","இரண்டு வகையான மக்கள் மகிழ்ச்சியை உருவாக்குகிறார்கள் தெம்சேள்வெச் மகிழ்ச்சி",5.593,4.804,5.417,1,"Situational"
"Team sports friends make pannuradhu-kku best ways","டெஅம் விளையாட்டு நண்பர்கள் செய்கிறார்கள் பன்னுறது நக்கு சிறந்த வழிகள்",5.548,4.9,5.516,1,"Situational"
"Non-profit believe pannuradhu join pannu. Others help pannuva","லாபமற்ற நம்பிக்கை பன்னுறது சேர பன்னி ஓதெற்ச் உதவி பன்னுவ",5.777,4.5,5.599,1,"Situational"
"Human beings social animals. Social interaction human need feel alive","குமன் உயிரினங்கள் சமூக விலங்குகள் சமூக தொடர்பு குமன் தேவை எள் உயிருடன்",5.63,4.647,5.414,1,"Situational"
"History World War 3-kku edge pannudhu","வரலாறு உலகம் போர் நக்கு விளிம்பு பன்னுது",5.288,4.89,4.882,1,"Situational"
"Social connections important. Paper-la adhu dhaan missing.","சமூக தொடர்புகள் முக்கியமான தாள் லே அணு தார் காணவில்லை",5.298,4.669,5.207,1,"Situational"
"Random people-oda best stories kekku","சீரற்ற மக்கள் ஊக சிறந்த களைகள் கணக்கு",4.862,3.798,5.122,1,"Situational"
"Silver bullet “tinsy better feel pannuren no matter what” videoclip: The Man Who Planted Trees.","வெள்ளி புள்ளெட் தட்டையான பெட்டெற் எள் பன்னுறென் ை மட்டெற் videoclip தீ மன தார் விதைத்தார்கள் ட்றீச்",4.948,4.829,4.973,3,"Situational"
"Good church find pannu! Baptist or Presbyterian. Welcome pannuvanga","நல்ல தேவாலய கண்டுபிடிப்பு பன்னி பாப்டிச்ட் நல்லது பிரச்பைடிரியன் வரவேற்பு பன்னுவங",5.736,4.322,5.511,1,"Situational"
"Doctor paaru. Outside-la en life amazing. Aana despondent or dissociating most of the time. 25 vara talk pannala. Several medication trials panninen","டாக்டர் பாறை வெளியே லே எண் அற்புதமான வாழ்க்கை இன விரக்தி நல்லது பெரும்பாலான நேரங்களில் விலகுதல் வீ பசு பண்ணை பச மருந்து சோதனைகள் பன்னினென்",5.185,4.295,5.4,1,"Situational"
"Welcome to life. Rock bottom hit pannala-na change pannida mudiyadhu. People-a let pannuradhu-kku fear pannura","லைவ் ராக்கிற்கு வரவேற்கிறோம் போட்டோம் தாக்கியது பண்ணை இன சூ பன்னி முடியது மக்கள் அனுமதிக்கவும் பன்னுறது நக்கு பயம் பன்னுற",5.192,4.853,5.234,1,"Situational"
"Isolation-a embrace pannu","தனிமை பரு அரவணைப்பு பன்னி",5.425,3.817,5.68,1,"Situational"
"Hard time ippo-nu sound pannudhu. Reaching out pannuradhu-kku good","கடினமான நேரம் டு ஒலி பன்னுது அடையும் பன்னுறது நக்கு நல்லது",5.258,4.476,5.202,2,"Stable/Neutral"
"Good job sharing","நல்ல வேலை பகிர்வு",4.603,3.607,5.67,1,"Atypical"
"Testosterone levels check pannu.","டெச்டோச்டிரோன் அளவு பார்க்கிறது பன்னி",5.718,4.385,5.195,2,"Situational"
"Church poga? Illa-na","தேவாலயம் போ நல்ல இன",4.985,3.982,4.968,1,"Situational"
"Depression body’s way of shocking the mind","மனச்சோர்வு உடல் மேதை அதிர்ச்சிக்குள்ளாக்குகிறது",5.373,4.795,5.582,1,"Situational"
"Same. Long time lonely","அபே போங் நேரம் தனிமை",5.135,3.208,5.71,1,"Situational"
"Sorry. Depression first vandhappo enna maari irundhuchu. Later social anxiety vandhuchu. Rough. Depression most people think pannura maari illa. Lack of appetite","முதலில் மனச்சோர்வுக்கு மன்னிக்கவும் வன்கப்போ மாடி இறுன்துசு பின்னர் சமூக கவலை வன்துசு கடுமையான மனச்சோர்வு பெரும்பாலான மக்கள் நினைக்கிறார்கள் பன்னுற மாடி நல்ல ாமை அப்பெடிடெ",4.953,4.837,5.009,3,"Situational"
"Still in college","ச்டிள்ள் உள்ளே ஓள்ளெகெ",5.0,5.0,5.0,1,"Situational"
"Exact same way feel pannuren. Depression ultimately good things sabotage pannidhu","அபே வழியில் எள் பன்னுறென் மனச்சோர்வு இறுதியில் நல்ல விசயங்களை நாசமாக்குகிறது பன்னிது",4.985,4.209,5.012,1,"Situational"
"Alexithymia much","அளெஇத்ய்மிஅ மிகவும்",5.0,5.0,5.0,1,"Situational"
"“It’s the difficult roads that leads us to beautiful destinations.” Summer-la friends paakka illa. Someone strangers-a party-kku invite pannaru","கடினமான சாலைகள் தார் நன்மை இட்டுச் செல்கின்றன பெஅஉடிஉள் இலக்குகள் சும்மெற் லே நண்பர்கள் பக்க நல்ல யூரோ ஒருவர் ச்ட்ரஙெற்ச் பரு கட்சி நக்கு அழைக்கவும்",5.135,4.641,5.376,1,"Situational"
"Depression chemical imbalance aagum","மனச்சோர்வு இரசாயன ஏற்றத்தாழ்வு ஆகும்",4.41,4.678,4.455,1,"Melancholic"
"No reason to be depressed-nu claim pannura","மனச்சோர்வடைய எந்த காரணமும் ை டு சைம் பன்னுற",5.069,4.75,5.133,2,"Situational"
"Valuable things workspace veliya pannu. Social organization join pannu. Donate pannu","மதிப்புமிக்க விசயங்கள் பணியிடம் வெளியே பன்னி சமூக அமைப்பு சேரும் பன்னி தனம் செய் பன்னி",5.773,4.198,5.591,1,"Situational"
"Depression usually good reason irukka-nu kekkadhu. Happiest seeming people silently most hurt. Good base irukku. Workout","மனச்சோர்வு பொதுவான நல்ல காரணம் இறக்க டு கெக்கது கப்பிஎச்ட் சீமிங் மக்கள் அமைதியாக மிகவும் காயப்படுத்துகிறார்கள் நல்ல அடித்தளம் இறுக்கு உடற்பயிற்சி",4.895,4.374,5.263,1,"Situational"
"Mechanical problem maari paaru. Some brains endorphins or whatever same level produce pannala. Logical reasons or life pathi irukka venam.","இயந்திர பிரச்சனை மாடி பாறை சிலோ றைன்ச் எண்டோர்பின்கள் நல்லது அபே அளவு உற்பத்தியாகும் பண்ணை தர்க்கரீதியான காரணங்கள் நல்லது வாழ்க்கை பசி இறக்க வானம்",5.459,4.195,5.234,1,"Situational"
"Brain mainframe computer","பைன் மைன்றமெ கணினி",6.14,4.39,5.51,1,"Situational"
"Gut health check pannu.","குடல் கெஅள்த் பார்க்கவும் பன்னி",5.3,4.383,5.263,2,"Stable/Neutral"
"Gym po brother. Christ find pannu.","உடற்பயிற்சி குடம் போ றோதெற் கிறிச்து கண்டுபிடித்தார் பன்னி",5.824,4.733,5.593,1,"Situational"
"Church life unakku good.","சர்ன் வாழ்க்கை unakku நல்லது",5.867,4.6,5.428,1,"Situational"
"No logical reason. Depression-nu solluradhu. Doctor talk pannina fix pannalaam. Most people-kku easy.","தர்க்கரீதியான காரணம் ை மனச்சோர்வு டு சோள்ளுறது டாக்டர் பேச்சு பன்னி பண்ணளாம் பெரும்பாலான மக்கள் நக்கு எளிதானது",5.761,4.194,5.788,3,"Situational"
"6 weeks medication trial pannuradhu scary","பச மருந்து சோதனை பன்னுறது பயமுறுத்தும்",4.388,4.76,5.152,1,"Situational"
"Depression many forms irukku","மனச்சோர்வு பச வடிவங்களில் இறுக்கு",5.055,4.763,5.207,1,"Situational"
"Activity-based friendships low stress way social-a irukkuradhu. Deeper friendships over time build pannalaam if you want. Easy options pickleball","செயல்பாடு அடிப்படையிலான நட்புகள் குறைந்த மன பழுத்த வழி சமூகம் இறுக்குறது டீபெற் காலப்போக்கில் நட்பு உருவாகிறது பண்ணளாம் ரோ இலகுவான விருப்பங்கள் ஊறுகாய் பந்து வேண்டும்",5.237,4.276,5.208,2,"Situational"
"Beautifully said! “Everything looks good on paper” trap depression hardest parts","அழகா சூ எல்லாம் சூ காகித பொறி மன அழுத்தம் கடினமான பகுதிகளில் நல்லது",4.486,4.912,4.995,1,"Melancholic"
"ChatGPT popular aana apparam “you’re not broken” adhigama solluranga","ChatGPT பிரபலமானது இன அப்பாறம் ரோ ை றோகென் அதிஅம சோள்ளுறங",4.783,4.809,4.932,2,"Melancholic"
"Magnesium-um.","மனெசிஉம் ஓம்",5.235,4.025,5.565,1,"Situational"
"Deficit one or several of above-nu first thought.","மேல் உள் ஒன்று நல்லது பச பற்றாக்குறை டு முதலில் தோஉக்ட்",5.354,3.968,5.536,1,"Situational"
"Thyroid levels-um.","த்ய்றோஇ நிலைகள் ஓம்",5.157,4.35,5.377,1,"Situational"
"Magical imbalance in brain-nu claim pannuradhu incorrect","மந்திர சமநிலையின்மை பைன் டு சைம் பன்னுறது தவறான",5.677,4.539,5.054,1,"Situational"
"Friends vangu","நண்பர்கள் வடு",4.355,5.775,4.55,1,"Melancholic"
"Depressing world-la vaazhurom","மனச்சோர்வடைந்த உலகம் லே வாழுறோம்",5.66,4.562,5.36,1,"Situational"
"Both top two leading causes depression-kku","போங் முதல் இரண்டு முன்னணி அஉசேச் மன அழுத்தம் நக்கு",5.306,4.656,5.36,1,"Situational"
"Love this comment","இசை விரும்பு ஓம்மென்ட்",5.893,5.21,5.143,1,"Situational"
"Nihilistic acceptance pathi kelvi pattirukken. Plan-la more add pannalaam tho lol.","நீலிச்டிக் ஏற்றுக்கொள்ளல் பசி கேள்வி பாட்டிறுக்கென் ப்ளஷ் லே சேர்க்கை பண்ணளாம் தீ lol",5.359,4.686,5.146,2,"Situational"
"Church-la welcome illa-nu feel pannuren.","தேவாலயம் லே வரவேற்கிறேன் நல்ல டு எள் பன்னுறென்",5.157,4.081,5.374,1,"Situational"
"Depression med initially bring down pannum","மனச்சோர்வு சிகிச்சை ஆரம்பத்தில் குறைக்கிறது பன்னும்",4.768,4.574,4.738,1,"Situational"
"No! Medicine try pannu. Personality change pannum-nu try pannala","மருந்து முயற்சி ை பன்னி ஆளுமை சூ பன்னும் டு முயற்சி பண்ணை",5.19,4.416,5.787,2,"Situational"
"Same. Naps love pannuren-nu talk pannuren. Secretly","அபே நப்ச் காதல் பன்னுறென் டு பசு பன்னுறென் இரகசியமான",5.188,4.567,5.002,1,"Situational"
"Full thyroid panel. Unexplained anxiety","உள்ள் த்ய்றோஇ குழு விவரிக்கப்படாத கவலை",4.5,4.64,4.614,1,"Melancholic"
"Goal more profit","அறிக லாபம் இலக்கு",6.863,4.903,6.407,1,"Situational"
"Apostolic church pona? Apostolic church oneness of God believe pannudhu. 1st century church 21st century-la. Church locator link irukku","ச்தலிக்க தேவாலயம் போ ச்தலிக்க திருச்சபை கடவுளின் ஒருமை நம்பிக்கை பன்னுது 1 ஆண் நூற்றாண்டு தேவாலயம் 21 ஆண் நூற்றாண்டு லே தேவாலய இருப்பிட இணைப்பு இறுக்கு",5.427,4.465,5.237,2,"Situational"
"Insurance vandha consider pannuren. Trial part skip pannina hop right on pannuven.","காப்பீடு வன்க கருதுகின்றனர் பன்னுறென் சோதனை பகுதி தவிர்க்கவும் பன்னி மேல் குறிக்கவும் பன்னுவென்",5.282,4.361,5.341,1,"Stable/Neutral"
