"original_text","cleaned_tamil","valence","arousal","dominance","utterance_count","depression_type"
"Life is not all sunshine and rainbows. You need to stop imagining one such life and face what is put in front of you. Depression is a conflict between what life should be and what life is.","வாழ்க்கை எண்பது சூரிய ஒளி நல்ல றைன்போச் ரோ அத்தகைய வாழ்க்கையை கற்பனை செய்வதை நிறுத்திவிட்டு, முன் வைக்கப்படுவதை எதிர்கொள்ள வேண்டும் ரோ மனச்சோர்வு பரு மோதல் பெட்ஈன் வாழ்க்கை எப்படி இருக்கை வேண்டும் மற்றும் வாழ்க்கை",5.06,4.436,5.119,2,"Situational"
"It’s better understood and openly talked about. I don’t think it is “becoming common”","இரு எண் பெட்டெற் புரிந்துகொண்டு வெளிப்படையாகப் பேசினேன், அணு மாறிவருவதாக மான் நினைக்கவில்லை ஓம்மோன்",5.119,4.899,4.975,2,"Situational"
"Saying u r in depression has become a fashion statement nowadays. They don't even know what clinical depression means","கூறுவது ஊக r மனச்சோர்வு எண்பது தெல்லாம் பரு நாகரீக அறிக்கையாகிவிட்டது தாய் வேண்டும் டை எவென் மருத்துவ மன அழுத்தம் ஒன்று தெரியும்",5.156,4.013,5.078,3,"Situational"
"I feel triggered whenever I read the news or someone sends me something related to caste because suddenly that's all I see. I said this to a friend and she called me a Savarna but I'm not a Savarna. I don't even know what that means. I've grown up in an urban environment without knowing what my caste was","ஊக எள் மான் செய்திகளைப் படிக்கும்போதோ நல்லது யாராவது எனக்கு சாதி தொடர்பான ஏதாவது அனுப்பும்போதோ தூண்டப்பட்டது பெஅஉசே திடீரென்று மான் பார்ப்பது அவ்வளவுதான் சூ இரு பரு நண்பருக்கு அவள் ை அழைத்தாள் சவற்ன மான் பரு நல்ல சவற்ன மான் செய்யவில்லை எவென் எனக்கு அர்த்தம் ஒன்று தெரியும் வீ ஒன்றில் வளர்ந்தவர் உற்அன் சூழல் இதோஉட் எண் சாதி வென்று தெரியும்",4.929,4.521,5.102,6,"Stable/Neutral"
"People out there throwing out the terms 'Depression' 'Anxiety' like confetti to such a level that it has become extremely cliché.","அங்குள்ள மக்கள் மனச்சோர்வு பதட்டம் போன்ற சொற்களை வீசுகிறார்கள் ஓன்எட்டி அணு மிகவும் கிளுகிளுப்பாக மாறிய அளவிற்கு",4.945,5.002,4.883,1,"Situational"
"Some people get depressed with low likes for their SM posts.","சில் தங்கம் எச்சம் இடுகைகளுக்கு குறைந்த லைக்குகளால் மனச்சோர்வடைகிறார்கள்",5.111,4.314,4.851,1,"Situational"
"You can avoid sadness turning into something else. Get busy","ரோ சோகம் வேறொன்றாக மாறுவதைத் தவிர்க்கலாம் பிசியாகுங்கள்",4.382,5.14,4.723,1,"Melancholic"
"What we eat + childhood experiences / development. These play a good chunk on how we feel to be honest. Starts from the beginning.","சாப்பிடுகிறோம் சிள்தூ அனுபவங்கள் மேம்பாடு நாண் எப்படி இருக்கிறோம் என்பதில் இசை பரு நல்ல பங்கு வகிக்கின்றன எள் நேர்மையான இருக்கை ஆரம்பத்திலிருந்தே தொங்குகிறது",5.264,4.431,5.255,1,"Situational"
"I told myself I don't have depression when I first visited a psychiatrist (my parents tricked me into meeting one) and he went on to give some medicines (antidepressants and sleeping pills) and I was fine","எண் பெற்றோர் ை ஏமாற்றிய பரு மனநல மருத்துவர் மான் முதன்முதலில் சந்தித்தபோது எனக்கு மனச்சோர்வு ை ஒன்று சொன்னேன் மீடிங் பரு மற்றும் ஓவர் சிலோ மருந்துகள் ஆண்டிடிரசண்ட்ச் மற்றும் கொடுக்க சென்சார் ச்ளீபிங் பிள்ள்ச் மான் ஒன்றாக இருந்தேன்",5.176,4.162,5.091,3,"Situational"
"Ge off your phone.. and get used to not having any form ofninstant gratification.. once that happens","உங்கள் பனை நிறுத்திவிட்டு, எந்த மிதமான உடனடி மனநிறைவையும் பெறாமல் பழகிக் கொள்ளுங்கள் கப்பென்ச்",5.16,4.608,5.191,2,"Situational"
"we study what are told to most of the times we never do the job we are tempted or passionate of we follow some social structure that never existed we all wanna play it safe some people call to take risk at office space that is not your risk at all but to tame yourself to obey them end of the day post 40's we live a life with EMI and health insurance. it all started at our early age where we failed to communicate well bcz our parents are not aware of things and insecure","பெரும்பாலான நேரங்களில் சொல்லப்பட்டதைப் படிப்போம் ஓள்ளோ நாண் அனைவரும் ாத சிலோ சமூக அமைப்பு அண்ணா சில் பாதுகாப்பாக விளையாடுங்கள் கால் அலுவலக இடத்தில் ரிங்க் எடுப்பது உங்கள் ஆபத்து அல்ல, கீழ்ப்படிவதற்கு உங்களைக் கட்டுப்படுத்துவது தரம் நாளின் இறுதியில் நாண் பரு வாழ்க்கையை வாழ்கிறோம் கமி மற்றும் கெஅள்த் காப்பீடு எண்பது எங்கள் சிறை வயதிலேயே தொடங்கியது, பங்கு நாங்கள் தொடர்பு கொள்ளத் தவறினோம் எள்ள் bcz எங்கள் பெற்றோருக்கு விசயங்கள் தெரியாத மற்றும் பாதுகாப்பற்றது",5.016,4.636,4.998,4,"Situational"
"I feel depression is a very word. People being in the state of sadness say themselves that they are depressed. Being sad is okay but feeling sad deliberately is a wrong state of mind. I firmly believe that people can come out of this dark phase of their life. If you’re genuinely depressed then please seek mental counselling.","ஊக எள் மனச்சோர்வு எண்பது சக நிலையில் இருப்பவர்கள் சொல்லும் வார்த்தை தெம்சேள்வெச் ஒன்று தாய் சோகமான இருப்பு பரவாயில்லை ஈளிங் வருத்தம் வேண்டுமென்றே பரு போங் மன நிலை மக்கள் தங்கம் வாழ்க்கையின் இந்த இருண்ட கட்டத்தில் பருந்து வெளியே வீ முடியும் ஒன்று மான் உறுதியான நம்புகிறேன் ரோ மீண்டும் உண்மையிலேயே மனச்சோர்வடையுங்கள், தயவுசெய்து சக் மன ஆலோசனை",5.165,4.334,5.326,4,"Situational"
"I got really good at hiding how i really feel in real life because i don’t want to lose out on opportunities and friendships due to my mental issues. Social Media is a place where i can mostly be myself so i don’t have to pretend. I’m sure this is the case for many other people as well.","மான் உண்மையில் எப்படி மறைக்கிறேன் ஒன்று ஒன்றாக இருந்தது எள் பச வாழ்க்கையில் பெஅஉசே மான் இழக்க விரும்பவில்லை ஓப்போற்டுனிடிஎச் மற்றும் எனது மஃப் பிரச்சினைகளால் ஏற்படும் நட்புகள் சமூக ஊகம் எண்பது மான் பெரும்பாலும் நானாகவே இருக்கக்கூடிய இடமாகும், மான் இடிக்க வேண்டியதில்லை, இரு பலருக்கும் அப்படித்தான் இருக்கும் ஒன்று மான் நம்புகிறேன். ஓதெற் இன மக்கள் எள்ள்",5.05,4.553,5.023,5,"Stable/Neutral"
"Comparison is the destruction of joy","ஒப்பீடு எண்பது மகிழ்ச்சியின் அழிவு",4.768,3.9,4.697,1,"Situational"
"It was always there","அணு எப்போதும் இருந்தது",4.767,5.767,4.707,1,"Melancholic"
"I guess one cause could be that","ஒன்று நினைக்கிறேன் அஉசே அணு இருக்கலாம்",5.078,4.994,4.936,1,"Situational"
"Depression is not something which majority of the people think how it will be. You will never know what people going through unless otherwise they share it completely. And in most case","மனச்சோர்வு எண்பது பெரும்பான்மையான மக்கள் எப்படி இருக்கும் ஒன்று நினைக்கவில்லை ரோ மக்கள் செய்கிறார்கள் ஒன்று ஒருபோதும் தெரியாத த்றோஉக் தவிர ஓதெற்இசே தாய் அறை முழுமையான பகிரவும் மற்றும் பெரும்பாலான சந்தர்ப்பங்களில்",5.142,4.37,4.997,2,"Situational"
"Sogama irukradhellam clinical depression illa da parama. People should understand this.","சோகம் இறுக்ரதெல்லம் மருத்துவ மன அழுத்தம் நல்ல டை பராம இசை மக்கள் புரிந்து குள்ள வேண்டும்",4.922,4.618,4.704,1,"Situational"
"Bro world has become more competitive.. people trying to live up to certain standards by comparing themselves with other people and get depressed thinking they're not good career/life/family wise. And IMO people who have depression without any reason(breakup/family/career) is the most dangerous depression. That's the clinical depression that occurs just internally by body changes/hormones etc. No extrenal reasons whatsoever. They just feel empty and fight a lot of internal demons. People should reach out to a Therapist if they have something like that. Kudos to everyone that has fought depression and coming out the other end!! My heart goes out to everyone undergoing this Battle","சகோ உலகம் மிகவும் போட்டித்தன்மையுடன் வாழ முயற்சிக்கவும் மக்களாக மாறியுள்ளது எர்டஇன் ஒப்பிடுவதன் ் தரநிலைகள் தெம்சேள்வெச் உடன் ஓதெற் மக்கள் மற்றும் மனச்சோர்வடைந்த சிந்தனை தாய் ஒன்றாக ை கார்ஈற் குடும்ப வாரியான வாழ்க்கை மற்றும் மனச்சோர்வு கொண்ட IMO மக்கள் இதோஉட் ஏதேனும் பரு காரணத்தால் குடும்பம் பிரிந்தது கார்ஈற் ஊக அதிகமாக உள்ளது அஙெறோஉச் மனச்சோர்வு எண்பது உடலின் உட்புறத்தில் ஏற்படும் மருத்துவ மன அழுத்தம் சஙெச் கார்மோன்கள் போன்றவை வெளிப்புற காரணங்கள் எதுவும் ை தாய் வெறும் எள் வெறுமையாக மற்றும் நிறை உள் பேய்கள் போராட மக்கள் பரு அடைய வேண்டும் தெறபிச்ட் தாய் மனச்சோர்வு எதிர்த்துப் போராளி வெளியே வந்து அனைவருக்கும் இதுபோன்ற ஏதாவது ஒன்றைப் பாராட்டுங்கள் ஓதெற் இறுதியில் இசை அனுபவிக்கும் அனைவருக்கும் எண் இதயம் செல்கிறது அட்ட்ளெ",5.239,4.607,5.125,6,"Situational"
"Comparison is the thief of all joy. We live in a world where we are constantly comparing ourselves to others because of social media","ஒப்பீடு எண்பது தீ எல்லை மகிழ்ச்சியிலும் நாண் தொடர்ந்து நன்மை ஒப்பிட்டுக் கொண்டிருக்கும் உலகில் வாழ்கிறோம் ஓதெற்ச் பெஅஉசே சமூக ஊடகங்கள்",5.292,4.487,5.193,1,"Situational"
"Over stimulation","அதிகப்படியான தூண்டுதல்",4.61,4.79,4.655,1,"Melancholic"
"Yeah PMO induced the idea of depression in my mind. I was a person who was unaware of what it feels to be depressed few years before. Even now I don't know whether I'm truly depressed","ஆண் PMO தூண்டியது இடெஅ எண் மனதில் மனச்சோர்வு அணு வென்று அழியாத பரு மனிதனாக இருந்தேன் ஈள்ச் சிலோ வருடங்களுக்கு முன் மனச்சோர்வடைந்திருக்க வேண்டும் எவென் து எனக்கு தெரியாத கெதெற் மான் உண்மையிலேயே மன உளைச்சலில் இருக்கிறேன்",4.91,4.647,4.899,3,"Situational"
"What is PMO? Google says Project Management Office. I don't think you meant that. Elaborate please.","கூகுள் மான் நினைக்கவில்லை இன திட்டை மேலாண்மை அலுவலகம் கூறுகிறது ரோ தீவு செய்தி எலாபரேட் ஒன்று அர்த்தம்",4.949,4.013,4.95,1,"Situational"
"Not necessarily","அவசியம் இல்லை",4.74,3.805,5.295,1,"Atypical"
"You don’t have to be any of those things to be depressed. You can have everything in the fucking world and still be depressed","ரோ மனச்சோர்வடைய அந்தி விசயங்கள் எதுவும் இருக்கை வேண்டியதில்லை ரோ குடுத்து உலகில் உள் அனைத்தையும் கொண்டிருக்கலாம் மற்றும் ச்டிள்ள் மன அழுத்தம் இருக்கும்",4.903,4.623,5.039,1,"Situational"
"could you pls stop generalizing? I have my own best freind..she has 15LPA just hit her 30's.","முடியும் ரோ pls பொதுமைப்படுத்துவதை நிறுத்துங்கள் எனக்கு எனது சொந்த சிறந்த நண்பர் இருக்கிறார் தூப தவளை கல் அழிக்க",5.109,4.323,5.34,1,"Situational"
"This ! ... It's okay to be sad","இரு வருத்தமாக இருப்பு பரவாயில்லை",4.825,4.692,4.78,1,"Situational"
"I'm sorry for your loss. It's good you have overcome it . Life is unfair sometimes","உங்கள் இழப்புக்கு வருந்துகிறேன் அணு நல்லது ரோ அறை முறியடித்தேன் வாழ்க்கை சிலோ நேரங்களில் நியாயமற்றது",5.092,4.705,5.204,1,"Situational"
"This needed to be said.","இரு தேவைப்பட்டது சூ",4.567,5.45,5.133,1,"Situational"
"I just want you to know that you are going to be fine. It's not a lot but I am proud of you.","எனக்கு தார் வேண்டும் ரோ ஒன்று தெரிந்து குள்ள ரோ ஒன்றாக இருக்கும், இரு அதிகம் மான் பெருமைப்படுகிறேன் ரோ",5.232,4.432,5.083,3,"Situational"
"Feeling depressed is not normal.. i think you are confusing it with sadness.. On the other hand if someone considers high fever as normal human thing then your logic would be applicable.","ஈளிங் மனச்சோர்வு அசாதாரணமானது நல்ல ஒன்று மான் நினைக்கிறேன் ரோ அறை சோகத்துடன் குழப்புகிறார்கள் ஓதெற் யாராவது அறிக காய்ச்சல் சாதாரணமாகக் கருதினால் கை குமன் உங்கள் தர்க்கம் பொருந்தும்",5.719,3.905,5.659,2,"Situational"
"I have MDD also.. and i couldn't agree more with you","ிடம் MDD உள்ளது ால் முடியவில்லை அறை",5.063,4.692,5.362,2,"Situational"
"Don't fall for that trash talk by the oldies.. these things did exist in their days too.. they didn't know what it was coz of lack of information or they just dismissed it","வேண்டும் டை பள்ளி முதியவர்களின் குப்பைப் பேச்சுக்கு, அவர்கள் காலத்திலும் இந்த விசயங்கள் இருந்தன தாய் தகவல் வோ தெரியவில்லை தாய் அறை நிராகரித்தார்",5.468,4.373,4.997,3,"Situational"
"This is so much truth for me to know.","இரு மிகவும் அதிகம் ட்றுத் எனக்கு தெரிந்து குள்ள",5.176,4.804,4.809,1,"Situational"
"There is a demon at every level More you level up","ஒவ்வொரு மட்டத்திலும் பரு பேய் இருக்கிறது ரோ நிலை வரி",4.255,4.487,4.718,1,"Situational"
"This leads to me giving off a sad ish vibe on most days.","இரு பெரும்பாலான நாட்களில் எனக்கு பரு சோகமான அதிர்வு கொடுக்க வழிவகுக்கிறது",4.664,5.033,4.732,1,"Melancholic"
"Me. Whenever I make a reel and it doesn't get the traction my older reels got I hate myself","மான் பரு ரீல் உருவாக்கம் போதெல்லாம், அணு எனது பழைய ரீல்களைப் பெற்ற இழுவையைப் பெறாதபோதெல்லாம் மான் ை வெறுக்கிறேன்",4.873,4.691,4.927,3,"Situational"
"Bro it's worth your lifetime living for and by the side of your parents. It's a blessing. Don't ever let yourself down and especially your mom down in any situation. I believe in God. And it's them. Our parents are our Gods. Not only for creating us","அண்ணா அணு எண் ஓற்த் உங்கள் வாழ்நாள் முழுவதும் உங்கள் பெற்றோருக்காகவும் பக்கபலமாகவும் வாழ்வது பரு ஆசீர்வாதம் எந்த சூழ்நிலையிலும் உங்களை, குறிப்பாக உங்கள் அம்மாவை வீழ்த்தி விடாதீர்கள், மான் கடவுளே நம்புகிறேன். தரம் ஓம் பெற்றோர்கள் ஓம் கடவுள்கள் எண்பது நம்மைப் படைத்ததற்காக மட்டுமல்ல",5.052,4.68,5.196,4,"Situational"
"You are absolutely right.","ரோ முற்றிலும்",4.59,4.52,5.16,1,"Situational"
":-/ factu factu factu","டு டு டு",4.5,3.9,4.85,1,"Situational"
"Correct light ? Enlighten me please","யான வெளிச்சம் தயவுசெய்து எனக்கு அறிவூட்டுங்கள்",5.544,4.428,5.672,1,"Situational"
">The time i spend with phone","மான் போனுடன் செலவிடும் நேரம்",5.367,4.138,5.203,1,"Situational"
"Feel you bro . .. been there ..once you accept that you have a problem . You will work it out .. will take sometime .. but you will get there","எள் ரோ அண்ணா ஒருமுறை பங்கு சென்றிருந்தேன் ரோ அறை ஏற்றுக்கொள் ரோ பரு பிரச்சனை ரோ அணு சிலோ நேரம் எடுக்கவும் ரோ பங்கு கிடைக்கும்",4.796,4.158,5.387,2,"Situational"
"Porn Masturbation & Orgasm","ஆபாச சுயஇன்பம் புணர்ச்சி",6.223,6.527,5.99,1,"Situational"
"yeah also they might have other problems...","ஆண் தாய் இருக்கலாம் ஓதெற் பிரச்சனைகள்",5.916,4.648,5.194,1,"Situational"
"In past good food","கடந்த காலத்தில் நல்லது ஊக",5.285,4.178,5.365,1,"Situational"
"I just said about the common problems..did I deny there aren't other problems edit:typo","மான் தார் சூ பற்று ஓம்மோன் பிரச்சனைகளை மான் பங்கு மறுத்தேன் அறென் டை ஓதெற் சிக்கல்கள் தட்டச்சு பிழை திருத்தம்",4.664,4.445,5.037,1,"Situational"
"Congratulations.","வாழ்த்துகள்",5.0,5.0,5.0,1,"Situational"
"Thank you! Don’t worry naamalam tsunamileh swimadipom","தன்க் ரோ கவலைப்படாதே னாமளம் சுனாமிலே நீந்துவோம்",4.863,4.84,5.053,1,"Situational"
"No no. She helped me through my depression. Made sure I took medicines","ை அவள் எனக்கு உதவி செய்தாள் த்றோஉக் எண் மனச்சோர்வு ை உறுதி செய்தது டக் மருந்துகள்",4.989,4.536,5.129,2,"Stable/Neutral"
"I mean how we don't grow or eat healthy anymore. If I was back home","ஊக மெஅன் நாண் எப்படி வளரவில்லை நல்லது சாப்பிடுவதில்லை கெஅள்த்ய் மான் வீட்டிற்கு திரும்ப இருந்தால்",5.296,4.263,5.232,1,"Situational"
"Smartphones well","ச்மார்ட்போன்கள் எள்ள்",5.0,5.0,5.0,1,"Situational"
"Agreed! Learning this.","இசை கற்க ஒப்புக்கொண்டார்",5.893,5.21,5.143,1,"Situational"
"In that case i must say... Dude count your lucky stars daily.. not everyone has such a supportive family especially in such matters","அப்படியானால், நண்பர் உங்கள் அதிர்ச்ட நட்சத்திரங்களை தினமும் எண்ணுங்கள் ஒன்று மான் சொல் வேண்டும் குறிப்பாக அத்தகைய ஆதரவாக குடும்பம் அனைவருக்கும் ை மட்டெற்ச்",5.217,4.676,5.196,3,"Situational"
"True that about eating healthy.. and yes putting away the phone sometimes does just lead to feeling even more worse","சாப்பிடுவது உண்மைதான் கெஅள்த்ய் ஆம், தொலைபேசியைத் பள்ளி வைப்பு சிலோ சமயங்களில் வழிவகுக்கும் ஈளிங் எவென் இன்னும் மோசமானது",5.102,4.846,5.085,2,"Situational"
"Buddy even I'm doing CA lol","நண்பா எவென் மான் செய்கிறேன் ஊக lol",4.983,4.437,5.043,1,"Situational"
"Yeah! I'm aware. My relatives have been nice. This started with the first time I got pimples and freaked out","ஆமாம், எண் உறவினர்கள் ஒன்றாக இருக்கிறார்கள் என்பதை மான் அறிவேன்",5.211,4.539,5.164,2,"Situational"
"Yeahh! Exactly. We don't have the social circles they have too. Their best friends were their cousins","ஆம், எங்களிடம் சமூக கட்டங்கள் ை தாய் கூ வேண்டும் அவர்களின் சிறந்த நண்பர்கள் அவர்களது உறவினர்கள்",5.266,4.536,5.019,3,"Situational"
