"original_text","cleaned_tamil","valence","arousal","dominance","utterance_count","depression_type"
"Depression 20 varusham (38 vayasu, childhood-la start). Right things pannuren, aana daily low-key depressed. Car hit pannidumnu aasa. Vaazhkai, game-a hate pannuren, edhuvum pannamudiyadhu. Velai, gym, nalla sappadu, processed foods, desserts cut panniruken, sleep schedule—irundhaalum depression irukku.

Point enna-nu, neenga solluradhu puriyudhu. Right things panniyum enough illa.","மன அழுத்தம் வறுசம் வயது சிள்தூ லே யான விசயங்களைத் தொடங்குங்கள் பன்னுறென் இன தின குறைந்த விசை அழுத்தப்பட்ட கார் கிட் பன்னிடும்னு பச வாழ்கஇ விளையாட்டு பரு வெறுப்பு பன்னுறென் எதுவும் பண்ணமுடியது வெளை உடற்பயிற்சி குடம் நல்ல சப்படு செயலாக்கப்பட்டது ஊசி இனிப்பு வெட்டு பன்னிறுகென் ச்ளீப் அட்டவணை இறுன்தாளும் மன அழுத்தம் இறுக்கு புள்ளி டு நீங்க சோள்ளுறது புறியுது யான விசயங்கள் பன்னியும் போதும் நல்ல",4.928,4.577,5.028,6,"Situational"
"Depression enna pull pannudhu, no matter what I do. Thoughts, brain chemistry vida jaasthi, en paagam-a irukku. Kaar emptiness maadhiri describe pannuren.

Secular Buddhism pathi paakkuren, answers irukkuma-nu.

Meds work pannuradhu glad.","மன அழுத்தம் புள்ளி பன்னுது ை மட்டெற் மான் செய்கிறேன் தோஉக்ட்ச் பைன் வேதியியல் வீ சாச்தி எண் பாம் ஊக இறுக்கு கால் வெறுமை மாதிரி விவரிக்க பன்னுறென் மதச்சார்பற்ற புதிச்ம் பசி பாக்குறென் பதில்கள் இறுக்கு டு மருந்து வேலை பன்னுறது மகிழ்ச்சி",4.87,4.412,5.097,5,"Situational"
"Good and bad ellam naan dhaan-nu purinjikittadhu help pannudhu. Love-a kaatturadhu en poruppu. Easy illa, aana space kuduthu, great things pannavendam, something good pannuren.","நல்லது கெட்டது எல்ம் மான் தார் டு புறிஞிகிட்டது உதவி பன்னுது காதல் ஊக காட்டுறது எண் பொறுப்பு எளிதானது நல்ல இன விண்வெளி குடுது பெரிய விசயங்கள் பண்ணவென்டம் ஏதாவது நல்லது பன்னுறென்",5.256,4.405,5.306,2,"Situational"
"TMS panninen last year. Miracle maadhiri. 50 years symptoms overnight pogudhu. Emotions handle pannuradhu kathukitten. 60 vayasu, Tortured Poets-la azhuthen, lyrics en ninaivugaloda close.

Not recommending, doctor decide pannanum. En experience share pannuren.

50 years depression, two attempts. CPTSD 40 years, anxiety 20s-la start. 6 weeks TMS worth it. Meds, therapy, meetings, mindfulness vaazhkai save pannudhu. Keep going. Hope sometimes kanom, Skyrim-la corpses loot pannura maadhiri.","டி. எம். எச் பன்னினென் கடந்த ஆண்டு அதிசயம் மாதிரி ஆண்டுகள் அறிகுறிகள் ஒரே இரவில் போகுது உணர்ச்சிகளைக் கையாளும் பன்னுறது கதுகிட்டென் வயது சித்திரவதை செய்யப்பட்ட கவிஞர்கள் லே அழுதென் பாடல் வரிகள் எண் னினைவுஅளோஅ மூடு மருத்துவர் முடிவு செய் பரிந்துரைக்கவில்லை பண்ணனும் எண் அனுபவ பகிர்வு பன்னுறென் ஆண்டுகள் மனச்சோர்வு இரண்டு அட்டெம்ப்ட்ச் CPTSD ஆண்டுகள் கவலை 20கள் லே தொடங்கு பச டி. எம். எச் ஓற்த் அணு மருந்துகள் தெறப்ய் மீடிங்ச் நினைவாற்றல் வாழ்கஇ சேமிக்க பன்னுது கூப் சிலோ நேரங்களில் க்னோம் ச்கைரிம் லோப் போகிறது லே சடலங்கள் மூட் பன்னுற மாதிரி",5.103,4.694,5.135,8,"Situational"
"Depression-a pet maadhiri paathukuren, pogadikka mudiyadhu. Always irukkum. Accomplish pannalanna calm pannuren. Clean pannalanna okay, lunch sappitten. Velai hard panniruken, rest deserve pannuren. Peace deserve pannuren, others selfish-nu sonnaalum, naan dhaan enakku help pannuren.","மனச்சோர்வு பரு செல்லப்பிள்ளை மாதிரி பாதுகுறென் போஅடிக்க முடியது எப்போதும் அறுக்கும் சாதிக்க பண்ணளண்ண அமைதியான பன்னுறென் ளெஅன் பண்ணளண்ண மதிய உணவு சப்பிட்டென் வெளை கடினமான பன்னிறுகென் ஓய்வு தகுதி பன்னுறென் அமைதிக்கு உரியது பன்னுறென் ஓதெற்ச் சுயநலவாதி டு சோண்ணஅளும் மான் தார் எனக்கு உதவி",5.13,4.522,5.162,2,"Stable/Neutral"
"Anxiety waves maadhiri nap pannum podhu shiver pannudhu. Ippo nap pannamudiyadhu, nervous system overwhelmed. Trauma dhaan source.","கவலை அறைகள் மாதிரி தூக்கம் பன்னும் போடு நடுக்கம் பன்னுது தூக்கம் பண்ணமுடியது நரம்பு மண்டலம் அதிகமாகிவிட்டது ட்ரஉம தார் ஆதாரம்",4.703,4.236,4.95,2,"Situational"
"36 vayasu, 12 vayasula depression diagnose aachu. First time vaazhkaila improve aagudhu. Therapy, TMS panniruken, nothing worked. Exercise, sun, depression pathi pesiruken, long run-la nothing. Quiet aana depression varudhu. Recent-a ADHD diagnose aachu, anxiety almost pogudhu.","வயது வயசுள மனச்சோர்வு கண்டறிதல் ஆடு முதல் முறை வாழ்கஇள மேம்படுத்த ஆகுது தெறப்ய் டி. எம். எச் பன்னிறுகென் எதுவும் வேலை செய்யவில்லை உடற்பயிற்சி சூரிய மன அழுத்தம் பசி பேசிருக்கேன் போங் ஓடு லே எதுவும் அமைதியாக ை இன மன அழுத்தம் வறுது சமீபத்திய ஊக லக் கண்டறிதல் ஆடு கிட்டத்தட்ட பதட்டம் போகுது",4.921,4.559,5.037,4,"Situational"
"Last 3 sentences pathi yaarum sollala?","டைசி வாக்கியங்கள் பசி மாறும் சோல்லள",4.708,4.986,4.598,1,"Melancholic"
"Hobbies pannuradhu nalla irukku, aana belong pannura feel varadhu.

Belong pannuradhu-nu big machine-la oru small cog-nu purinjikittadhu. Grand design-la chinnapaagam. Learn and grow pannuradhu dhaan point.

Poem share pannuren:

Oru last paathai irundha

En destination-uku pogura oru last paathai

En vaazhkaiyoda rest-uku kaattura paathai

Comfort, familiarity paathai choose pannuven

Jaasthi green, jaasthi blue paathai

Vivid poo, periya maram irukkura paathai

And I’d sit

Naan evlo small-nu ninaippen

En vaazhkai evlo small-nu

Ellam avoid pannamudiyadhu, time-la small blip

Vaazhkai book illa

No table of contents

No pages, chapters, paragraphs

Each letter of each word of each sentence maadhiri

Never great like Einstein or Van Gogh

Aana namma vaazhkai mukkiyam. Same recycled air breathe pannirukkom

Same moon, same jokes sirichirukkom

Fiercely love pannirukkom, deeply hurt pannirukkom like everyone

Namma dust aana pinnum

Cycle continue pannum.","பொழுதுபோக்குகள் பன்னுறது நல்ல இறுக்கு இன பெளோங் பன்னுற எள் வலது பெளோங் பன்னுறது டு பெரிய இயந்திரம் லே ஓடு சிறிய பற்கள் டு புறிஞிகிட்டது பிரமாண்டமான வடிவமைப்பு லே சிண்ணபாஅம் பற்று வாருங்கள் பன்னுறது தார் புள்ளி கவிதை பகிர்வு பன்னுறென் ஓடு டைசி பாதை இறுன்க எண் இலக்கு ஊக போகுற ஓடு டைசி பாதை எண் வாழ்கஇயோஅ ஓய்வு ஊக காட்டு பாதை ஆறுதல் பரிச்சயம் பாதை சூசே பன்னுவென் சாச்தி பீன் சாச்தி நீலம் பாதை தெளிவான சூ பெரிய ் இறுக்கு பாதை மற்றும் மான் உட்கார்ந்தேன் மான் எவ்ளோ சிறியது டு னினைப்பென் எண் வாழ்கஇ எவ்ளோ சிறியது டு எல்ம் தவிர்க்க பண்ணமுடியது நேரம் லே சிறிய பிளவு வாழ்கஇ பக் நல்ல உள்ளடக்க அட்டவணை ை பக்கங்கள் ை அத்தியாயங்கள் உத்திகள் ஒவ்வொன்றும் ளெட்டெற் ஒவ்வொரு வாக்கியத்தின் ஒவ்வொரு வார்த்தையின் மாதிரி ஐன்ச்டீனைப் போ ஒருபோதும் சிறந்தவர் நல்ல ஷன் கோக் இன னம்ம வாழ்கஇ முக்கியம் அபே மறுசுழற்சி அஇற் றெஅதெ பன்னிருக்கோம் அபே மூட் அபே சோக்குகள் சிரிச்சிருக்கோம் எல்லாரையும் போ கடுமையான லக் பண்ணிருக்கோம் ஆழமான காயப்படுத்தி இருக்கோம் னம்ம தூசி இன பின்னம் சுழற்சி தொடரவும் பன்னும்",4.885,4.427,5.147,10,"Situational"
"Trauma healing enna pannureenga, eppadi pannureenga?","ட்ரஉம குணப்படுத்துதல் பன்னுறீங எப்படி பன்னுறீங",5.657,4.668,5.303,2,"Situational"
"Trauma healing mukkiyam, adhu work pannudhu. Feel pannuren.","ட்ரஉம குணப்படுத்துதல் முக்கியம் அணு வேலை பன்னுது எள் பன்னுறென்",5.304,4.906,5.295,1,"Situational"
"Borderline irukku, feel pannuren. Konjam time distract pannuren, aana alone-a irundha square one.","எல்லைக்கோடு இறுக்கு எள் பன்னுறென் கோபம் நேரம் திசை திருப்புகிறது பன்னுறென் இன தனியாக ஊக இறுன்க சதுரம் ஒன்று",4.751,4.199,5.076,1,"Situational"
"Depression en personality paagam-nu othukitten, edhuvum pannamudiyadhu.","மன அழுத்தம் எண் ஆளுமை பாம் டு ஓதுகிட்டென் எதுவும் பண்ணமுடியது",4.88,4.356,5.038,1,"Situational"
"Car hit pannidumnu aasa, maranathuku reason kedaikkum.","கார் மோதியது பன்னிடும்னு பச மறனதுகு காரணம் கிடைக்கும்",5.48,4.186,5.429,1,"Situational"
"8 varusham depression diagnose. 2 meds-la irundhaalum, yearly 1 or 2 strong depressive episodes, 1 month last pannudhu.

Depressed aalunga conscious-a vaazhkai originally depressing-nu paakkuren, meds less conscious-a pannudhu—happy.

Unintelligent, poor aalunga happy-a irukkanga, daily sappadu afford pannuravanga baby maadhiri thoonguranga, anxious illa. Naan financially stable, loving family, friends irundhaalum.","வறுசம் மனச்சோர்வு நோய் கண்டறிதல் மருந்துகள் லே இறுன்தாளும் ஆண்டுதோறும் நல்லது ச்ட்றோங் மனச்சோர்வு அத்தியாயங்கள் மோன்த் டைசி பன்னுது மன அழுத்தம் ஆளுங உணர்வுள்ள ஊக வாழ்கஇ முதலில் மனச்சோர்வு டு பாக்குறென் மருந்துகள் குறைந்த உணர்வு a பன்னுது மகிழ்ச்சி புத்திசாலி பூச் ஆளுங மகிழ்ச்சி ஊக இறுக்கு தின சப்படு கொடுக்க பன்னுறவங குழந்தை மாதிரி தூஙுறங கவலையுடன் நல்ல மான் நிதி ரீதியாக நிலையான அன்பான குடும்ப நண்பர்கள் இறுன்தாளும்",5.102,4.657,5.126,3,"Situational"
"Vaaya moodu, ayyo.","வாழ மூடு ஐயா",5.967,4.363,5.74,1,"Situational"
"Idhu Pfizer post, comments-um.","இரு பைசர் இடுகை ஓம்மென்ட்ச் ஓம்",5.408,4.366,5.454,1,"Situational"
"Healthy aalu depressed aal-a paakkum podhu, normal human condition maadhiri thappu pannirukkom-nu blame pannuranga. Gym, vera maadhiri ninaikkunu solluranga. Millions sedentary, edhuvum pannama happy-a irukkanga. Schizophrenia maadhiri, aana normal-a disguise aagudhu, thappu mindset-nu.

Dr K solluraan, depression as mood disorder episodic, varum pogum. Chronic, constant depression trauma-related. C-PTSD pathi paaru, depression trauma symptom-nu jaasthi aalunga paakkuranga.","கெஅள்த்ய் ஆடு மன அழுத்தம் ஆண் ஊக ்கும் போடு சாதாரண குமன் நிபந்தனை மாதிரி உப்பு பன்னிருக்கோம் டு பழி பன்னுறங உடற்பயிற்சி குடம் வெறி மாதிரி னினைக்குனு சோள்ளுறங மிள்ளிஓன்ச் உட்கார்ந்த எடுவும் பண்ணை மகிழ்ச்சி ஊக இறுக்கு ச்சிஓப்க்றெனிஅ மாதிரி இன சாதாரண பரு மாறுவேடம் ஆகுது உப்பு மனநிலை டு டாக்டர் கே சோள்ளுறான் இன மனச்சோர்வு மூ கோளாறு எபிசோடிக் வறுமை போகும் நாள்பட்ட நிலையான மனச்சோர்வு ட்ரஉம தொடர்புடைய C PTSD பசி பாறை மன அழுத்தம் ட்ரஉம அறிகுறி டு சாச்தி ஆளுங",4.817,4.388,4.963,4,"Situational"
"Always yourself-oda fight pannura maadhiri. Hobbies help pannudhu, aana daily tough.","எப்போதும் நீங்களே ஊக சண்டை பன்னுற மாதிரி பொழுதுபோக்குகள் உயவும் பன்னுது இன தின",4.939,4.602,5.006,1,"Situational"
"Idhu vera aalunga pannuradhu puriyala. Friends ambitious, talented-nu solluvanga, motivation eppadi-nu keppanga, answer illa. Time pass pannuradhu, sad feel pannama irukkuradhu-nu pannuren. Depressed-nu doubt pannuren, coz energy irundha pannuvennu nenachen. Pandemic-la bad aachu, ippo family reasons-ala pause-la bad again.","இரு வெறி ஆளுங பன்னுறது புறியள நண்பர்கள் லட்சிய திறமைசாலிகள் டு சோள்ளுவங உந்துதல் எப்படி டு கெப்பங பதில் நல்ல டைவ் பிச் பன்னுறது வருத்தம் எள் பண்ணை இறுக்குறது டு பன்னுறென் மன அழுத்தம் டு சந்தேகம் பன்னுறென் coz ஆற்றல் இறுன்க பன்னுவென்னு னெனசென் சர்வதேசப் பரவல் லே மோசமான ஆடு குடும்ப காரணங்கள் வள பௌசே லே மோசமான அகைன்",4.96,4.647,5.111,3,"Situational"
"20 varusham depressed, underlying issues theerkkalaiya?","வறுசம் மனச்சோர்வடைந்த அடிப்படை பிரச்சினைகள் தீற்க்களைய",5.1,4.59,5.21,1,"Stable/Neutral"
"Therapy pona, experiences parents or police-ku report aagum. Enna experience pannuren-nu solla mudiyadhu, hurt pannum. Trapped feel pannuren, care pannura, nalla advice tharavaru venum. Same feel pannuren, 15 vayasu. Future bayam, vaazhkai like this venda.","தெறப்ய் போ அனுபவம் பெற்றோர் நல்லது போலீச் கே அறிக்கை ஆகும் அனுபவம் பன்னுறென் டு சோல்ல முடியது காயப்படுத்தியது பன்னும் சிக்கியது எள் பன்னுறென் கவனிப்பு பன்னுற நல்ல ஆலோசனை தவறு வெறும் அபே எள் பன்னுறென் வயது எதிர்காலம் பயம் வாழ்கஇ இப்படி வென்ட்",5.368,4.494,5.335,3,"Situational"
"[removed]","அகற்றப்பட்டது",5.0,5.0,5.0,1,"Situational"
"Amen brother. Sila naal iruttoda nadakkuren.","அமென் றோதெற் சூ வாள் இறுட்டோஅ னகுறென்",4.575,5.35,5.263,1,"Situational"
"[deleted]","நீக்கப்பட்டது",5.0,5.0,5.0,1,"Situational"
"Woodworking azhagu hobby.","ஊஓற்கிங் அழகு பொழுதுபோக்கு",6.447,4.93,5.587,1,"Situational"
"Purple unicorn, super job! 🌸 Complex trauma maadhiri irukku, cPTSD irukkuma? Enna med help pannudhu?","பர்பிள் யூனிகார்ன் சூப்பர் சாஷ் காம்ப்ளக்ச் ட்ரஉம மாதிரி இறுக்கு cPTSD இறுக்கு மருத்துவ உதவி பன்னுது",5.686,4.963,5.64,2,"Situational"
"Medicine name sollunga, therapist-ta ketkuren.","மருந்தின் பெயர் சோள்ளுங தெறபிச்ட் டை கெட்குறென்",5.158,4.357,5.052,1,"Situational"
"Name theriyadhu, trauma release-nu YouTube solludhu.

Safety visualize pannuradhu nervous system-ku cue-a work pannudhu. Body scan/awareness, trauma body-la stored. Sudden shaking sessions varudhu. YouTube professional ancient survival energy release-nu solluraan. Adha pannuren.","பெயர் தெறியது ட்ரஉம விடுதலை டு YouTube சோள்ளுது பாதுகாப்பு காட்சிப்படுத்தவும் பன்னுறது நரம்பு மண்டலம் கே பரு வேலையைக் குறிக்கவும் பன்னுது உடல் ச்அன் விழிப்புணர்வு ட்ரஉம உடல் லே சேமிக்கப்படுகிறது சுடென் நடுங்கும் அமர்வுகள் வறுது YouTube தொழில்முறை புராதன உயிர் ஆற்றல் வெளியீடு டு சோள்ளுறான் ஊக பன்னுறென்",5.074,4.443,5.221,2,"Situational"
"Azhaga sollirukkeenga. Thanks for sharing.","அழி சோள்ளிறுக்கீங தன்ச பகிர்வதற்காக",4.737,5.168,4.938,1,"Melancholic"
"Constant thought belong pannala-nu, idhu nalla perspective change. Azhagu poem, thank you.","நிலையான தோஉக்ட் பெளோங் பண்ணை டு இரு நல்ல முன்னோக்கு சூ அழகு கவிதை தன்க் ரோ",5.325,4.318,5.486,1,"Situational"
"Depression dhaan underlying issue, gym pona theerum-nu illa. Hobbies brain chemistry off-a irundha help pannadhu.

Med always help pannadhu. No theerppu illa, aana nalla direction-la strong step, flesh wound-uku bandaid maadhiri.","மன அழுத்தம் தார் அடிப்படை பிரச்சினை உடற்பயிற்சி குடம் போ மீறும் டு நல்ல பொழுதுபோக்குகள் பைன் வேதியியல் ஆண் ஊக இறுன்க உதவி பண்ணது மருத்துவம் எப்போதும் உயவும் பண்ணது ை தீர்ப்பு நல்ல இன நல்ல திசை லே ச்ட்றோங் படி சதை காயம் ஊக அன்டஇ மாதிரி",5.216,4.478,5.281,3,"Situational"
"Sorry, situation tough. Aalunga protect pannanumnu feel pannuradhu, hurt express pannamudiyadhu rough.

New living situation try pannuradhu possible-a?","மன்னிக்கவும் நிலைமை கடினமானது ஆளுங பாதுகாக்க பண்ணனும்னு எள் பன்னுறது காயம் எக்ச்பிரச் பண்ணமுடியது கடினமான புதிய வாழ்க்கை சூழ்நிலை முயற்சி பன்னுறது சாத்தியமான ஊக",5.212,4.583,5.168,1,"Stable/Neutral"
"[deleted]","நீக்கப்பட்டது",5.0,5.0,5.0,1,"Situational"
"Idhu enna depress pannudhu. Smoke pannuren lazy-a irukkuradhu okay-nu, then self-hate, pity overwhelm pannudhu.","மனச்சோர்வு பன்னுது புகை பன்னுறென் சோம்பேறி ஊக இறுக்குறது சுய வெறுப்பு பரிதாபம் மேலிடுகிறது பன்னுது",4.409,4.51,5.07,2,"Situational"
"9 varusham daily smoker. Anxiety increase aachu. 1.5-2 years break eduthen. Ippo hit or miss. Same strain, sila samayam rumination, sila samayam relax.","வறுசம் தின புகைப்பிடிப்பவர் கவலை அதிகரிக்கும் ஆடு ஆண்டுகள் இடைவெளி எடுத்தேன் அபே கிட் நல்லது பிச் ச்ட்ரஇன் சூ சமம் வதந்தி சூ சமம் ஓய்வெடுக்க",4.729,4.573,5.062,3,"Situational"
"Idhu feel pannuren.","இரு எள் பன்னுறென்",5.657,4.717,5.243,1,"Situational"
